EASY,DIFF_LONG_WORD,DIFF_PHONOLOGICAL
gong,climber,opposition
goo,climbing,oppression
good,clinic,option
goods,clinical,optional
goose,clinking,optionally
gorge,clipped,orchard
got,clipping,orchestra
gote,clocked,orchestral
gourd,clockwise,orchestration
gown,clockwork,orchid
goy,closed,organization
grab,closely,orientation
grace,closeness,ornamentation
grade,closer,orographic
grain,closet,orphan
gram,clothe,oscillate
grand,clothes,oscillating
grant,clothesline,oscillation
grape,clothing,oscillatory
grasp,cloudburst,ostrich
grass,clouded,ought
grate,cloudless,outrageously
grave,cloudy,outreach
gray,clubbed,overhand
graze,clumsy,overhaul
great,cluster,overhead
greed,clustered,overhear
green,clutter,overnight
greet,coarse,oversight
grew,coastal,overweight
grey,coaster,overwhelm
grid,coasting,overwhelming
grief,coated,overwhelmingly
grill,coating,oxidation
grin,cobalt,oxygenation
grind,cobbler,palpitation
grip,cockle,pamphlet
grit,cockpit,panchayat
groan,coconut,paragraph
grog,cocoon,paraphrase
groin,coefficient,parenchyma
groom,coexist,participation
gross,coexistence,partition
group,coffee,passion
grove,coherence,passionate
grow,coherent,passionately
grown,cohesive,patch
guan,coiled,patchwork
guar,coiling,patriarchal
guard,coinage,paying
guava,coincide,peach
guess,coincidence,penetration
guest,coincident,pepsin
guide,coking,perception
guild,colder,perch
guilt,coldness,percussion
gulf,collaborate,percussionist
gully,collaborative,perfection
gulp,collaboratively,perfectionist
gum,collage,perhaps
gun,collagen,peripheral
guna,collar,periphery
gunj,collect,permission
gunny,collected,persecution
gur,collective,personification
guru,collectively,petition
gust,collector,petitioner
gusty,college,petrochemical
gut,collide,phantom
guy,collinear,pharmaceutical
gym,collins,phase
h,collocate,phases
ha,colloid,pheasant
habit,colloidal,phenolphthalein
hack,colonel,phenomena
had,colonial,phenomenon
hail,colonialism,phew
hain,colony,philanthropist
hair,colorful,philately
hairy,coloring,philharmonic
half,colors,philosopher
hall,colossal,philosophical
halma,colour,philosophy
halo,columnar,phloem
halt,combat,phoebe
halve,combine,phone
ham,combined,phonetics
hame,combing,phonics
han,combining,phonological
hand,combustible,phonologically
handy,comeback,phosphate
hanif,comedy,phosphatic
hanky,comfort,phosphoric
happy,comfortable,phosphorus
hard,comfortably,photo
hardy,comforting,photoelectric
hare,comical,photograph
harm,coming,photographer
harsh,command,photography
hasta,commander,photosynthesis
haste,commanding,photosynthetic
hasty,commandingly,phototropic
hat,commemorate,phototropism
hate,commemorative,photovoltaic
hathi,commend,phrasal
hatt,commensalism,phrase
hause,comment,phulkari
have,commentary,physic
haven,commerce,physical
hawk,commercial,physically
hay,commercially,physician
haya,commit,physicist
hazy,commitment,physics
he,committee,physiographic
head,commodity,physiological
heal,commodore,physique
heap,common,pictograph
heaps,commonality,picturesque
hear,commonly,pigmentation
heart,commonplace,pinch
heat,commons,pinching
heath,commonwealth,pitch
heavy,communal,pitcher
hedge,communicable,pitching
heed,communicate,plague
heel,communicating,plantation
heir,communicative,plaque
hell,communicator,plateau
hello,communist,playwright
help,community,plough
hemal,commutative,poignant
hemp,commute,pollination
hen,compact,pollution
hence,compactly,population
henna,companion,porch
henry,companionship,portion
her,company,position
herb,comparable,positional
herd,comparative,positioned
here,comparatively,possession
hero,compare,potion
heron,comparison,pouch
hers,compartment,powerhouse
hertz,compass,practitioner
hex,compasses,praying
hey,compatible,preach
hi,compel,preaching
hide,compendium,precaution
high,compensate,precautious
hike,compete,precious
hill,competence,precipitation
hilly,competency,precision
hilsa,competently,precondition
him,competitive,prediction
hin,competitiveness,pregnancy
hind,competitor,pregnant
hinge,compile,prehension
hint,complain,preparation
hip,complaint,preposition
hippo,complement,prepositional
hire,complementary,prescription
hired,complete,presentation
his,completely,preservation
hiss,complex,prestigious
hit,complexion,prevention
hive,complexity,previous
hives,compliance,previously
ho,complicated,procession
hoard,complimentary,proclamation
hob,comply,production
hobby,component,profession
hod,compose,professional
hoe,composed,professionally
hoi,composer,progression
hoist,composite,prohibition
hold,compost,projection
hole,composure,promotion
holt,compound,promotional
holy,compounding,pronunciation
home,comprehend,propagation
homo,comprehensible,prophet
hone,comprehensive,prophetic
honey,comprehensively,proportion
honor,compress,proportional
hood,compressed,proportionality
hook,compressibility,proportionate
hoon,compressible,proportionately
hoop,comprise,proposition
hop,comprised,proscenium
hope,compromise,protection
hoped,compulsive,provision
horn,compulsory,provisional
horse,compute,pst
hose,computer,psychiatrist
host,concave,psychologist
hot,conceal,psychology
hotel,concealed,publication
hoti,concede,punch
hotly,conceive,punching
hour,concentrate,punctuation
house,concentrated,purchase
hover,concentric,purification
how,concept,qualification
hoy,conceptual,quarrying
hub,concern,queen
hue,concerned,queer
hug,concerning,quench
huge,concert,question
hula,concerted,questioningly
hum,concise,questionnaire
human,concisely,queue
humid,conclude,quickness
humor,concluding,quiet
hump,conclusively,quietly
humus,concordance,quietness
hundi,concrete,quotation
hung,concurrent,radiation
hunt,concurrently,radioactivity
hurl,concyclic,ralph
hurr,condemned,rarefaction
hurry,condense,ration
hurt,condensed,rational
hush,condenser,rationale
husk,conduct,reach
hut,conductivity,reaching
hydro,conductor,reaction
hyena,confederacy,rebellious
hyp,conference,reception
i,confess,recharge
ibex,confide,recognition
ice,confidence,recognize
icon,confident,recombination
icy,confidential,recommendation
id,confidentiality,reconsideration
idea,confidently,reconstruction
ideal,confine,recreation
idiom,confined,recreational
idol,confirm,redistribution
if,confirmed,reduction
ife,confirming,reflection
igloo,confiscate,reformulation
ikat,conflict,refraction
ill,confluence,refrigeration
image,conform,regeneration
imply,conformist,regimentation
in,conformity,registration
incur,confounded,regulation
inde,confront,rehabilitation
index,confuse,rehydration
indic,confused,reimagination
inert,congenial,reintroduction
infer,congested,rejection
infra,congratulatory,rejuvenation
ing,congregate,rejuvenescence
ink,congress,relation
inks,congruence,relationship
inlet,congruency,relaxation
inn,congruent,religious
inner,conical,reminisce
input,conifer,remuneration
inter,coniferous,renovation
into,conjectural,repatriation
io,conjecture,repetition
ion,connect,rephrase
ionic,connected,representation
iota,connectedness,repression
iris,connective,reproach
iron,connectivity,reproduction
irony,conquer,repulsion
is,conquering,reputation
isle,conqueror,research
iso,conquest,researcher
issue,consecutive,reservation
ist,consecutively,resignation
it,consensual,resigned
item,consensus,resolution
its,consent,respiration
ivory,consequence,restoration
j,consequent,restriction
jab,consequently,resuscitation
jack,conservative,retention
jade,conserve,reverberation
jag,consider,revision
jail,considerable,revolution
jam,considerably,revolutionary
jane,considerate,rewrite
japan,considered,rheostat
jar,considering,rhetorical
jati,consign,rheumy
jaw,consist,rhino
jay,consistency,rhinoceros
jean,consistent,rho
jeans,consistently,rhododendron
jeep,consolidate,rhombus
jelly,consolidated,rhyme
jerk,consonance,rhythm
jerky,consonant,rhythmic
jerry,consort,rhythmically
jet,consortium,rich
jewel,conspiracy,riches
jimmy,constable,richly
jina,constancy,richness
jiva,constant,right
jo,constantan,righteous
job,constantly,righteousness
jock,constituency,rightful
joe,constituent,rightly
jog,constitute,rightmost
join,constraint,rightwards
joint,constrict,rotation
joke,constricted,rotational
joker,construct,rough
jolly,constructive,roughage
jolt,constructively,roughly
joshi,constructivist,rumination
jot,consulate,sachet
joule,consult,salivation
jowar,consultant,salutation
joy,consumable,sanction
judge,consume,sandwich
jug,consumer,sanitation
juice,consuming,saponification
juicy,contact,sapphire
jump,contactual,satisfaction
jumpy,contain,satisfying
june,container,saturation
junk,contaminate,saxophone
jury,contemplate,saying
just,contemporary,scenario
jute,contempt,scene
k,contemptible,scenery
ka,contender,scenic
kai,content,scent
kaka,contented,schedule
kala,contentment,schematic
kali,contents,schematically
kan,contest,scheme
kapur,context,schist
karbi,contextual,scholar
karma,contextually,scholarly
karo,continent,scholarship
kashi,continental,school
kat,continentality,schoolbag
kath,contingent,schoolboy
katha,continual,schoolgirl
kay,continually,schooling
kea,continue,schoolmate
keck,continued,schoolroom
keen,continuity,schoolwork
keep,contour,schoolyard
kella,contraceptive,science
ken,contract,scientific
kept,contracted,scientifically
ket,contractile,scientist
kette,contractor,scion
key,contractual,scissors
khadi,contradict,sclerenchyma
khair,contradictory,sclerenchymatous
khan,contrary,scorching
khar,contrast,scratch
khet,contribute,scratching
kiang,contributor,scythe
kick,control,search
kill,controllable,searching
kiln,controversial,secretion
kilo,controversy,section
kim,convener,sectional
kin,convenience,sedimentation
kind,convenient,seeing
king,conveniently,segregation
kink,convent,selection
kiss,converge,semiprecious
kit,convergence,sensation
kite,converging,separation
kitty,converse,serious
kiwi,conversely,seriously
ko,convert,seriousness
koel,converted,session
koi,converter,sessions
kokam,convertible,shepherd
kombu,converting,sight
kon,convex,sighting
kona,convey,signal
kuan,conveyance,signatory
kurus,convince,signature
kusha,convinced,signboard
kusum,convincing,significance
l,convincingly,significant
la,convoy,significantly
lab,cooker,signify
label,cookhouse,silhouette
lace,cooking,simplification
lack,cooler,simulation
lad,cooling,simultaneous
laden,coolness,simultaneously
ladle,copied,sion
lady,coping,situation
lag,copper,situational
laid,coriander,sketch
lain,corkscrew,sketching
lak,cornea,sketchy
lake,corneal,skylight
lam,corner,slaughter
lame,cornerstone,sleigh
lamp,cornfield,sleighing
land,coronated,slight
lane,corporate,slightly
lap,corporator,slouching
large,corpuscle,snapshot
larva,correct,snatch
laser,corrected,snatched
last,correcting,soapstone
lata,corrective,socioeconomic
late,correctly,solemn
later,correctness,solidification
laugh,correlate,solution
lava,correspond,somewhat
law,correspondence,somewhere
lawn,corresponding,sophisticated
lay,corridor,sought
layer,corrie,sovereignty
lazy,corroborate,spacious
lead,corrode,speech
leaf,corrosive,speechless
leafy,corrupt,sphagnum
leak,cortex,sphere
leaky,cosecant,spheric
lean,cosily,spherical
leap,cosine,sphincter
leapt,cosmetic,sphygmomanometer
lear,cosmic,spinach
learn,cosmos,spontaneous
lease,costing,spontaneously
leash,costly,spotlight
least,costume,squeaking
leave,cotangent,squeaky
led,cottage,squeeze
ledge,cotton,squeezer
left,cotyledon,stagnant
leg,council,stagnate
legal,counsel,starch
lek,countable,starchy
lemma,countenance,starlight
lemon,counter,starvation
lemur,counterfeit,station
lend,counterfoil,stationary
lens,counterpart,stationery
lent,counterview,staunchly
less,counting,stephane
lest,countless,stimulation
let,country,stitch
level,countryside,stitching
lever,county,stomach
levy,couple,straight
lewis,coupled,straighten
li,coupling,straightforward
liber,courage,stratosphere
lid,courier,strenuous
lie,course,stretch
lied,courtesy,stretchable
life,courtier,stretchy
lift,courtroom,subconsciously
like,courtyard,subdivision
lilt,cousin,subjugation
lily,covalent,sublimation
lim,covenant,submission
lime,coverage,subscription
limit,covered,subsection
limp,covering,substitution
lina,coward,subtraction
line,cowardice,succession
lined,cowardly,such
linen,cowpea,suction
linga,cowpox,suggestion
link,cracked,sulphate
links,cracking,sulphide
lion,crackle,sulphite
lip,crackling,sulphonic
list,cradle,sulphur
lit,craftsman,sulphuric
lithe,craftsmanship,summation
live,craftwork,sunlight
lived,crafty,superhero
liver,cramped,superimposition
livid,cranial,superphosphate
lo,crater,superposition
load,crawling,superstition
loaf,crayon,supervision
loamy,creamy,surveying
loan,crease,susceptibility
lobby,create,suspension
local,creative,suspicious
lock,creatively,suspiciousness
lofty,creativity,swatch
log,creator,swaying
logic,creature,switch
login,credible,switchboard
logos,credit,switched
loka,creeper,switching
lone,creeping,symphony
long,cremate,synapse
loo,cricket,syphilis
look,criminal,tableau
loom,crimson,tableaux
loop,crinkly,tabulation
loose,cripple,tattooing
loot,crises,taught
lord,crisis,taxation
lori,crispy,teach
loris,crisscross,teachable
lorry,criteria,teacher
lose,criterion,teaching
loser,critical,tech
loss,criticality,technical
lost,critically,technically
lot,criticism,technician
lots,crocodile,technique
lotus,crooked,technological
loud,crosscutting,technologically
lour,crossed,technology
love,crossing,tedious
lover,crossover,telecommunication
low,crosspath,telegraph
lower,crosswise,telephone
lowly,crossword,telephonic
loyal,crowded,television
luck,crowned,temptation
lucky,crucial,tension
ludo,crucially,termination
lumen,crucible,terrifying
lump,cruelly,tessellation
lunar,cruelty,tetrachloride
lung,crumble,thickness
lunge,crumbly,thorough
lungi,crumple,thoroughbred
lush,crumpled,thoroughfare
lust,crushed,thoroughly
lute,crushing,though
ly,crustal,thought
lynx,crusted,thoughtful
lyric,crusty,thoughtfully
m,crystal,through
ma,crystalline,throughout
mac,cubbyhole,thumb
macaw,cubical,tight
macro,cuboid,tighten
mad,cuboidal,tightly
madam,cuckoo,tightness
made,cucumber,tiptoeing
mage,cuisine,toleration
magi,culinary,tomb
magic,culprit,tongue
magma,cultivable,tonight
maha,cultivate,toothache
mahua,cultivated,topography
maid,cultivator,torch
mail,culturable,torchlight
main,cultural,touch
mains,culturally,touchable
maize,culture,touched
major,cultured,touching
make,cumulative,tough
maker,cunning,toughness
mal,cupboard,trachea
mala,cupped,tracheid
male,curative,traction
malik,curator,tradition
mall,curing,traditional
malt,curiosity,traditionally
mamma,curled,transaction
man,curling,transactional
mana,currency,transcend
manas,current,transcending
mane,currently,transcription
maney,curricula,transformation
mange,curricular,transition
mango,curriculum,transitional
mani,cursed,translation
many,cursive,transliteration
mao,cursor,translocation
map,curtailed,transmission
maple,curtain,transpiration
mar,curtly,transplantation
mare,curvature,transportation
maria,curved,travelogue
mark,cushion,treachery
maro,cushioned,trench
marry,custard,trichy
marsh,custodial,trisection
mart,custodian,triumph
mary,custody,triumphant
mash,custom,trophic
mask,customary,trophy
mason,customer,troposphere
mass,customs,trough
mast,cuticle,trying
mat,cutlass,trypsin
matai,cutlery,tuition
mate,cutout,twilight
math,cutter,twitch
matka,cutting,tying
matra,cyanate,typhoid
maxim,cyclic,typhoon
may,cyclical,typhus
maya,cyclically,unacknowledged
maybe,cycling,unambiguous
mayor,cyclist,unbranched
maze,cyclohexane,unchallenged
me,cyclone,unchanged
meal,cyclonic,unchanging
mean,cyclopentane,uncharged
meant,cyclorama,unchecked
meat,cylinder,unconscious
medal,cylindrical,unconstitutional
media,cymbal,unconventional
meek,cytoplasm,underlying
meet,cytoplasmic,unidirectional
mein,dacoit,unique
mela,daggers,unknowingly
melon,dainty,unknown
melt,dalton,unmatched
memo,damage,unmentioned
men,damages,unquestioning
mend,damned,unreachable
menu,dancer,unscheduled
mercy,dancing,unscientific
mere,danger,unstitched
merge,dangerous,untouchability
merit,dangerously,untouched
merry,dangle,untying
mesh,dargah,unvarying
mess,daring,unwritten
messy,darken,upheld
met,darkening,uphill
metal,darkly,uphold
mete,darling,upright
meter,dashed,upset
mew,dashing,upsetting
mi,dastur,upside
mica,dating,upstage
mice,daunting,upstairs
micro,dauntless,upstream
mid,davenport,urination
midst,daybreak,vacation
mike,daydream,vaccination
mil,daytime,vague
mila,deactivate,validation
mild,deadly,variation
mile,deafness,variolation
milk,dealer,various
milky,dealing,variously
mill,dearie,vegetation
mille,debate,venation
milpa,debater,ventilation
mime,debating,verification
mimic,debris,version
min,decade,vexation
mina,decagon,vibration
minar,decayed,victorious
mince,deceased,violation
mind,deceive,virtuous
mine,decelerate,vision
mines,decent,visionary
mink,decently,vocation
minor,decide,vocational
mint,decided,watch
minus,decimal,watched
mir,decisive,watchful
miss,decisively,watching
mist,declarative,watchmaker
misty,declare,watchman
mitra,declared,weakness
mix,decline,weigh
mixed,declined,weighed
mixer,decode,weighing
mo,decompose,weight
moan,decomposed,weightlessness
moat,decorate,wha
mob,decorated,whale
mock,decorative,what
modal,decoratively,whatever
mode,decrease,whatnot
model,decreasing,whatsoever
moha,dedicate,wheat
moist,deduce,wheel
molar,deductive,wheelbarrow
mold,deepen,wheeler
mole,deeply,wheezily
mon,defame,when
mona,default,whenever
monal,defeat,where
mone,defect,whereas
money,defective,whereby
monk,defence,wherein
mono,defend,wherever
month,defender,whet
moo,defense,whether
mood,defensive,whew
moody,defensively,which
mool,deferred,whichever
moon,deficiency,while
mop,deficient,whilst
moral,deficit,whimper
more,defile,whimsical
morn,definable,whip
moro,define,whipped
morth,defined,whipper
moss,definite,whirl
most,definitely,whirled
mote,deflect,whirlwind
moth,deflected,whisk
motif,deftly,whisper
motor,degenerate,whispered
motto,degradable,whispering
mould,degrade,whispery
mound,degraded,whistle
mount,degrading,whistling
mouse,degree,white
mouth,dejected,whites
move,delete,who
movie,deliberate,whoever
mu,deliberately,whole
muck,delicacy,wholehearted
mucus,delicate,wholeheartedly
mud,delicately,wholeness
mudde,deliver,wholesale
muddy,delivery,wholesaler
mudra,deltaic,wholesome
mug,demand,wholly
muga,demanding,whom
mum,demarcate,whoo
mummy,democracy,whoops
mun,democratic,whopping
mural,democratically,whose
murga,demoiselle,why
mush,demolish,willingness
music,demonstrate,witchcraft
must,demonstrative,womb
musty,dendrite,woodchuck
mute,dendritic,worrying
my,denial,wrap
n,denominator,wrapped
na,denote,wrapper
naa,densely,wrapping
naam,density,wrath
nag,dental,wreck
naga,dentine,wrestle
naik,dentist,wrestler
nail,depart,wrestling
naive,departed,wretched
nak,department,wring
naked,departure,wrinkle
nam,depend,wrinkled
name,dependence,wrist
nan,dependency,writ
nana,dependent,writable
nancy,depending,write
nandi,depict,writer
nanga,deplete,writing
nap,deployment,written
nasal,deposit,wrong
nash,depress,wrongly
nasi,depressed,wrote
nasty,depressing,wrought
nat,deprive,wrung
naval,deputy,xylophone
navel,derisively,yacht
navy,derive,yesternight
nawab,derived,yield
nay,derogatory,yielding
ne,describe,
near,descriptive,
neat,descriptively,
neck,desecrate,
nee,desert,
need,deserted,
needs,deserve,
needy,deserved,
neem,deserving,
neer,design,
neon,desirable,
nep,desire,
nerve,desired,
nest,despair,
net,despairing,
never,desperate,
new,despite,
newly,dessert,
news,destiny,
next,destroy,
ni,destructive,
nibs,detail,
nice,detailed,
niepa,detain,
nil,detect,
nim,detective,
nine,detector,
ninth,detergent,
nit,determinant,
nizam,determine,
no,determined,
noble,determiner,
nod,deterrent,
nodal,detour,
node,deuterium,
nodi,devastate,
noise,devastating,
noisy,develop,
non,developer,
none,development,
noon,developmental,
nor,developmentally,
north,deviate,
nose,device,
not,devise,
note,devoid,
noted,devote,
noun,devoted,
nova,devotee,
novel,devour,
now,devout,
nth,dewfall,
nu,dharana,
nun,dharma,
nurse,dhyana,
nut,diabetes,
nylon,diabetic,
o,diacritical,
oak,diagonal,
oam,diagonally,
oasis,diagram,
oath,dialysis,
obese,diameter,
obey,diametrically,
occur,diamond,
ocean,diastole,
ock,diastolic,
octet,diatomic,
od,dictate,
odd,dictator,
odds,dictatorship,
ode,didactic,
oe,diddle,
oes,diesel,
of,dietary,
off,dietitian,
offer,differ,
often,difference,
ogive,different,
oh,differential,
ohm,differentially,
oho,differentiate,
oil,differently,
oiled,difficult,
oily,difficulty,
old,diffuse,
olden,diffused,
older,diffusely,
olive,digest,
om,digested,
omega,digestible,
omen,digestive,
omina,digging,
omit,digital,
on,digitally,
once,dilemma,
one,diligence,
onion,dilute,
only,diluted,
ons,diminish,
onset,dining,
onto,dinner,
open,diorama,
opera,dioxide,
opt,diplomacy,
optic,diplomat,
or,diplomatic,
oral,dipped,
orbit,dipper,
order,dipping,
ore,direct,
organ,directed,
ort,directive,
os,directly,
other,director,
otter,directorate,
otto,directory,
ouf,disability,
our,disabled,
ours,disadvantage,
out,disagree,
outer,disagreed,
oval,disagreement,
ovary,disappear,
oven,disappearance,
over,disappearing,
ovule,disappointed,
ovum,disappointment,
ow,disapproval,
owe,disapprovingly,
ower,disarming,
owing,disaster,
owl,disastrous,
own,disbelief,
owner,discard,
ox,disclosed,
oxbow,discomfort,
oxen,disconnect,
oxide,disconnected,
ozone,discontent,
p,discount,
pa,discourage,
paal,discourse,
pac,discover,
pace,discovered,
paced,discovery,
pack,discreet,
pact,discrete,
pad,discriminant,
paddy,discriminate,
page,discriminatory,
paik,discus,
pain,discuss,
paint,disease,
pair,disengage,
pais,disfigurement,
paisa,disgrace,
pal,disguise,
palar,disguised,
pale,disgust,
paled,disharmony,
pali,disinfect,
palm,disinfectant,
pam,disintegrate,
pan,dislike,
panda,dislocate,
pane,dislodge,
panel,disloyal,
pang,dismantle,
panic,dismay,
pant,dismiss,
pants,dismissal,
papa,disobey,
paper,disorder,
par,disparity,
para,dispersal,
param,disperse,
parer,dispersed,
pari,displace,
park,displacement,
part,display,
party,displayed,
pasha,displeasing,
pass,displeasure,
past,disposable,
paste,disposal,
pat,dispose,
patel,disposed,
path,dispossess,
pattu,disprove,
pause,dispute,
pave,disregard,
paw,disrespect,
pawn,disrespectful,
pay,disrupt,
payee,disruptive,
pea,dissected,
peace,dissecting,
peak,disseminate,
pear,dissimilar,
pearl,dissimilarity,
peat,dissipated,
peda,dissolve,
pedal,dissolving,
peek,distance,
peel,distant,
peep,distilled,
peer,distinct,
peg,distinctive,
pen,distinctly,
penda,distinguish,
penis,distinguishable,
per,distinguished,
peril,distinguishing,
peso,distort,
pest,distorted,
pet,distract,
petal,distracted,
peter,distress,
petty,distressed,
pi,distributary,
piano,distribute,
pick,distributed,
pie,distributive,
piece,district,
pig,disturb,
piggy,disturbance,
pile,disturbed,
piled,disturbing,
piles,disunity,
pili,diuretic,
pilot,diurnal,
pin,diverge,
pine,divergence,
ping,diverging,
pink,divers,
pipal,diverse,
pipe,diversified,
piped,diversity,
pir,divert,
pit,divide,
pity,divided,
pivot,dividend,
pizza,divider,
place,dividing,
plain,divine,
plan,diving,
plane,divinity,
plank,divisibility,
plant,divisible,
plate,divisor,
play,divorce,
plot,divulge,
pluck,dizziness,
plug,dockyard,
plum,doctor,
plume,doctoral,
plump,doctorate,
plus,doctrine,
po,document,
pock,documentary,
pod,dodecahedron,
poem,dolomite,
poet,domain,
poha,domestic,
point,dominance,
poise,dominant,
poke,dominate,
poker,dominated,
polar,donate,
pole,donated,
polio,donkey,
polka,doodle,
poll,doorbell,
poly,doorstep,
pom,doorway,
pomp,dormant,
pon,dotted,
pond,double,
pong,doubled,
pool,doubling,
poon,doubly,
poor,doubtful,
pop,dovetailed,
pore,downcast,
port,downhill,
porto,downpour,
porus,downside,
pose,downstairs,
posh,downstream,
post,downward,
pot,drafting,
pound,dragged,
pour,dragging,
pow,dragon,
power,dragonfly,
pox,drainage,
poy,drained,
prad,dramatic,
prana,dramatically,
pray,dramatics,
preen,dramatist,
press,drastic,
prest,drastically,
prey,drawback,
price,drawbridge,
prick,drawer,
pride,drawers,
prime,drawing,
print,dreadful,
prior,dreamer,
prism,dreamland,
prize,dreamt,
pro,dreamy,
probe,dreary,
prof,dredging,
prone,dressed,
prong,dressing,
proof,dribble,
prop,driest,
props,drifting,
prose,drilling,
prosy,drinkable,
prove,drinking,
proxy,dripping,
pruh,drivel,
pu,driven,
pubic,driver,
puff,driverless,
puja,driving,
pull,drizzle,
pulp,drooping,
pulse,droplet,
pump,dropout,
pun,dropper,
pung,dropping,
pungi,drowsiness,
pupa,drunkard,
pupal,drunken,
pupil,drunkenness,
puppy,dryness,
pure,duckling,
purse,ductile,
pus,ductility,
push,dullness,
put,dumbly,
putt,dumping,
pya,dungeon,
q,duplicate,
quack,durability,
quad,durable,
quake,durant,
query,durbar,
quest,during,
quick,dustbin,
quill,duster,
quilt,dwarfism,
quit,dwarfness,
quite,dwelling,
quits,dyeing,
quiz,dynamic,
quota,dynamics,
quote,dynasty,
quoth,dysentery,
r,eagerly,
ra,eagerness,
rab,earnest,
rabid,earnestly,
race,earning,
rack,earnings,
radar,earring,
radii,earthen,
radio,earthenware,
raft,earthly,
rag,earthquake,
raga,earthworm,
rage,earthy,
raid,easier,
rail,easiest,
rain,easily,
rainy,easing,
raise,easterly,
raj,eastern,
raja,easternmost,
rally,eastward,
ram,eatery,
ramp,eating,
ran,ebonite,
rana,eccentric,
rang,ecological,
range,ecology,
rani,economic,
rank,economical,
rann,economically,
rap,economics,
rapid,economist,
rapt,economy,
rare,ecosystem,
rasa,ecstatic,
rash,edging,
rat,edible,
rata,editor,
rate,editorial,
rated,educate,
rath,educated,
ratio,educative,
raven,educator,
raw,eerily,
ray,effect,
raya,effective,
rayon,effectively,
re,effectiveness,
rea,effects,
react,effectual,
read,efficacy,
ready,efficiency,
real,efficient,
realm,efficiently,
reap,effort,
rear,effortful,
reb,effortless,
rebel,effortlessly,
recap,eggplant,
recur,eggshell,
red,either,
reddy,elaborate,
redo,elaborately,
redox,elastic,
ree,elasticity,
reed,elated,
reedy,elbowed,
reef,elderly,
reel,eldest,
ref,electoral,
refer,electorate,
regal,electric,
regia,electrical,
regur,electrically,
reign,electrician,
relax,electricity,
relay,electrocardiogram,
relic,electrode,
rely,electrodynamics,
reneg,electrolysis,
renew,electrolyte,
rent,electrolytic,
rep,electrolytically,
repay,electron,
repel,electronic,
reply,electronics,
reps,electroplating,
rerun,electroscope,
reset,electrostatic,
resin,elegance,
rest,elegant,
reuse,elegantly,
rib,element,
rice,elemental,
rid,elementary,
ride,elevated,
rider,eleven,
ridge,eleventh,
rie,elicit,
rifle,eligible,
rift,eliminate,
rig,elongate,
rigid,elongated,
rim,embankment,
rima,embark,
rine,embarrass,
ring,embarrassed,
rinse,embarrassing,
rio,embarrassment,
ripe,embellish,
ripen,embezzlement,
rise,emblem,
risen,emblematic,
rishi,embody,
risk,embrace,
risky,embracing,
rita,embroider,
rival,embroidery,
river,embryo,
road,emerald,
roam,emerge,
roar,emergence,
roast,emergency,
rob,emergent,
robe,emeritus,
robin,eminent,
robot,eminently,
rock,emissary,
rocky,emotive,
rod,empathy,
rode,emperor,
rohan,empire,
role,empirical,
roll,employ,
roof,employed,
rook,employee,
room,employer,
root,employment,
rope,empower,
ropes,empowerment,
rose,emulate,
rosy,emulsify,
rot,enable,
rote,enabler,
round,enactment,
rouse,enamel,
route,encircle,
rover,enclave,
row,enclose,
rowdy,enclosure,
royal,encompass,
rub,encounter,
ruby,encourage,
rude,encouragement,
rug,encouraging,
ruin,encouragingly,
rukh,encyclopedia,
rule,encyclopedic,
ruler,endanger,
rumal,endeared,
rumen,endemic,
run,ending,
rung,endless,
rupee,endlessly,
rural,endocrine,
ruse,endoplasmic,
rush,endorsed,
rust,endothermic,
rye,endowment,
s,endurance,
sa,endure,
saa,enduring,
sab,energetic,
sabzi,energy,
sac,enforce,
sack,enforceable,
sad,enforced,
sadhu,enforcement,
sadly,engage,
sadr,engaged,
safe,engagement,
saga,engaging,
sage,engine,
sahib,engineer,
sai,engineering,
said,engrave,
sail,engraved,
saint,engraving,
sake,engrossed,
sal,engulf,
salad,enhance,
sale,enhanced,
salma,enhancement,
salt,enigmatic,
salty,enjoyable,
sam,enjoyment,
samaj,enlarged,
saman,enlargement,
same,enlist,
san,enormity,
sand,enormous,
sandy,enormously,
sane,enquire,
sang,enquiry,
sanga,enraged,
sank,enroll,
sant,enrolled,
sap,enrolment,
sapa,ensemble,
sar,enshrine,
sari,enslavement,
sarna,ensure,
sarod,entail,
sat,entangled,
satin,entering,
sauce,enterprise,
save,entertain,
saved,entertaining,
saw,entertainment,
say,enthusiasm,
scale,enthusiastic,
scan,enthusiastically,
scare,entire,
scarf,entirely,
scary,entirety,
scoop,entity,
scope,entomologist,
score,entomology,
scour,entrance,
scout,entrepreneur,
scrap,entrepreneurial,
screw,entrepreneurship,
scrub,envelop,
scum,envelope,
se,environment,
sea,environmental,
seal,environmentalist,
seam,environmentally,
seat,enzyme,
sec,epidemic,
sect,epidermal,
see,epidermis,
seed,epileptic,
seek,episode,
seem,epistemology,
seen,epithelia,
seep,epithelial,
seer,epithelium,
seize,equable,
self,equality,
sell,equally,
semi,equate,
sen,equator,
send,equatorial,
sense,equidistant,
sent,equilateral,
sepoy,equilibrium,
ser,equinox,
serve,equipment,
set,equitable,
seth,equity,
setup,equivalence,
seven,equivalent,
sew,equivalently,
sewed,eradicate,
sex,erased,
sh,eraser,
sha,erecting,
shad,eroded,
shade,erratic,
shady,erudite,
shaft,escalator,
shah,escape,
shahi,especially,
shake,espionage,
